PATIENT_NAME,R_PEAK,P_PEAK,T_PEAK,Q_PEAK,S_PEAK
patient289/s0550_re,12024,11631,nan,11506,12299
patient289/s0550_re,13580,13201,nan,13079,13837
patient289/s0550_re,15131,14746,nan,14617,15402
patient289/s0550_re,16692,16312,nan,16644,16960
patient289/s0550_re,18240,17859,nan,17729,18502
patient289/s0550_re,19786,19408,nan,19284,20059
patient289/s0550_re,21331,20952,nan,20837,21600
patient289/s0550_re,22872,22495,nan,22370,23146
patient289/s0550_re,24420,24037,nan,23925,24685
patient289/s0550_re,25962,25588,nan,25471,26233
patient289/s0550_re,27510,27124,nan,27006,27780
patient289/s0550_re,29056,28675,nan,28561,29329
patient289/s0550_re,30599,30219,nan,30095,30865
patient289/s0550_re,32154,31762,nan,31658,32413
patient289/s0550_re,33703,33319,nan,33210,33976
patient289/s0550_re,35265,34870,nan,34756,35544
patient289/s0550_re,36827,36439,nan,36316,37093
patient289/s0550_re,38381,38001,nan,37872,38639
patient289/s0550_re,39941,39549,nan,39890,40214
patient289/s0550_re,41491,41109,nan,40985,41773
patient289/s0550_re,43050,42658,nan,42535,43317
patient289/s0550_re,44608,44224,nan,44558,44877
patient289/s0550_re,46163,45778,nan,45645,46434
patient289/s0550_re,47724,47331,nan,47213,47980
patient289/s0550_re,49290,48904,nan,48785,49553
patient289/s0550_re,50858,50463,nan,50808,51115
patient289/s0550_re,52436,52039,nan,51920,52710
patient289/s0550_re,54002,53613,nan,53498,54264
patient289/s0550_re,55574,55176,nan,55054,55842
patient289/s0550_re,57147,56758,nan,57098,57411
patient289/s0550_re,58709,58323,nan,58196,58986
patient289/s0550_re,60288,59889,nan,59771,60551
patient289/s0550_re,61857,61471,nan,61343,62129
patient289/s0550_re,63426,63030,nan,62913,63695
patient289/s0550_re,65000,64612,nan,64952,65270
patient289/s0550_re,66562,66172,nan,66054,66822
patient289/s0550_re,68121,67735,nan,67608,68383
patient289/s0550_re,69672,69300,nan,69178,69941
patient289/s0550_re,71227,70839,nan,70716,71487
patient289/s0550_re,72788,72394,nan,72273,73068
patient289/s0550_re,74352,73980,nan,73835,74624
patient289/s0550_re,75930,75529,nan,75407,76195
patient289/s0550_re,77518,77116,nan,77470,77776
patient289/s0550_re,79094,78700,nan,78580,79362
patient289/s0550_re,80677,80275,nan,80155,80946
patient289/s0550_re,82264,81862,nan,81739,82535
patient289/s0550_re,83840,83452,nan,83330,84117
patient289/s0550_re,85420,85024,nan,84900,85704
patient289/s0550_re,86986,86599,nan,86468,87266
patient289/s0550_re,88552,88162,nan,88047,88814
patient289/s0550_re,90121,89734,nan,90073,90397
patient289/s0550_re,91675,91291,nan,91160,91947
patient289/s0550_re,93223,92848,nan,92720,93495
patient289/s0550_re,94767,94392,nan,94260,95037
patient289/s0550_re,96313,95934,nan,95808,96576
patient289/s0550_re,97863,97477,nan,97811,98137
patient289/s0550_re,99419,99031,nan,98918,99693
patient289/s0550_re,100972,100593,nan,100465,101237
patient289/s0550_re,102549,102150,nan,102023,102820
patient289/s0550_re,104126,103728,nan,103604,104411
patient289/s0550_re,105696,105304,nan,105185,105960
patient289/s0550_re,107278,106876,nan,106754,107549
patient289/s0550_re,108850,108465,nan,108342,109117
patient289/s0550_re,110431,110032,nan,109910,110707
patient289/s0550_re,112013,111615,nan,111501,112279
patient289/s0550_re,113582,113193,nan,113069,113853
patient289/s0550_re,115151,114765,nan,114642,115433
patient289/s0550_re,116714,116326,nan,116208,116981
patient289/s0550_re,118278,117892,nan,117766,118541
patient289/s0550_re,119842,119455,nan,119338,nan
patient242/s0471_re,955,363,1203,935,981
patient242/s0471_re,2647,2040,2895,2626,2672
patient242/s0471_re,4321,3750,4570,4303,4347
patient242/s0471_re,6045,5434,6294,6025,6071
patient242/s0471_re,7710,7153,7956,7689,7736
patient242/s0471_re,9291,8740,9538,9272,9318
patient242/s0471_re,10934,10366,11182,10915,10960
patient242/s0471_re,12572,11995,12822,12553,12599
patient242/s0471_re,14244,13672,14493,14226,14270
patient242/s0471_re,15878,15298,16128,15859,15905
patient242/s0471_re,17505,16950,17752,17486,17531
patient242/s0471_re,19148,18561,19395,19127,19172
patient242/s0471_re,20788,20229,21036,20769,20814
patient242/s0471_re,22472,21877,22719,22452,22498
patient242/s0471_re,24161,23569,24411,24143,24187
patient242/s0471_re,25889,25272,26137,25868,25915
patient242/s0471_re,27560,26982,27808,27542,27587
patient242/s0471_re,29277,28675,29526,29258,29304
patient242/s0471_re,30945,30355,31194,30926,30971
patient242/s0471_re,32643,32047,32890,32622,32670
patient242/s0471_re,34298,33708,34548,34278,34324
patient242/s0471_re,35991,35400,36240,35972,36017
patient242/s0471_re,37693,37080,37941,37673,37718
patient242/s0471_re,39437,38827,39688,39418,39464
patient242/s0471_re,41122,40524,41370,41101,41148
patient242/s0471_re,42792,42217,43039,42772,42817
patient242/s0471_re,44486,43885,44731,44465,44511
patient242/s0471_re,46163,45574,46413,46144,46189
patient242/s0471_re,47874,47278,48124,47855,47899
patient242/s0471_re,49577,48964,49827,49558,49603
patient242/s0471_re,51272,50694,51522,51253,51298
patient242/s0471_re,52918,52368,53167,52900,52945
patient242/s0471_re,54449,53940,54694,54428,54475
patient242/s0471_re,55905,55435,56151,55885,55931
patient242/s0471_re,57424,56892,57670,57404,57450
patient242/s0471_re,58888,58422,59131,58867,58913
patient242/s0471_re,60304,59845,60549,60285,60330
patient242/s0471_re,61838,61311,62083,61816,61864
patient242/s0471_re,63367,62862,63615,63349,63394
patient242/s0471_re,64967,64419,65212,64946,64992
patient242/s0471_re,66543,66010,66790,66525,66569
patient242/s0471_re,68185,67614,68431,68164,68210
patient242/s0471_re,69792,69256,70038,69773,69818
patient242/s0471_re,71437,70864,71685,71418,71464
patient242/s0471_re,73068,72516,73315,73050,73094
patient242/s0471_re,74742,74160,74988,74722,74767
patient242/s0471_re,76362,75816,76608,76341,76388
patient242/s0471_re,77924,77379,78169,77905,77951
patient242/s0471_re,79588,79009,79836,79569,79614
patient242/s0471_re,81228,80644,81475,81209,81255
patient242/s0471_re,82889,82317,83136,82871,82916
patient242/s0471_re,84571,83962,84819,84552,84598
patient242/s0471_re,86248,85680,86496,86230,86275
patient242/s0471_re,87941,87336,88188,87920,87967
patient242/s0471_re,89684,89071,89934,89666,89710
patient242/s0471_re,91452,90828,91699,91431,91477
patient242/s0471_re,93053,92532,93300,93031,93078
patient242/s0471_re,94545,94041,94791,94526,94572
patient242/s0471_re,96182,95599,96427,96162,96207
patient242/s0471_re,97848,97245,98095,97829,97875
patient242/s0471_re,99616,98998,99864,99597,99641
patient242/s0471_re,101347,100717,101596,101327,101373
patient242/s0471_re,103086,102490,103335,103067,103112
patient242/s0471_re,104853,104224,105100,104832,104878
patient242/s0471_re,106588,105984,106839,106570,106615
patient242/s0471_re,108385,107724,108634,108364,108410
patient242/s0471_re,109290,108640,109542,109272,109316
patient242/s0471_re,111069,110433,111318,111048,111095
patient242/s0471_re,112815,112213,113064,112796,112841
patient242/s0471_re,114591,113956,114840,114571,114617
patient242/s0471_re,116322,115714,116572,116303,116350
patient242/s0471_re,117228,116578,117475,117207,117253
patient242/s0471_re,118943,118347,119193,118924,118970
patient070/s0235lre,1432,1105,1627,1404,1460
patient070/s0235lre,2925,2643,3121,2897,2953
patient070/s0235lre,4404,4092,5127,4375,4432
patient070/s0235lre,5861,5560,6577,5832,5889
patient070/s0235lre,7317,6762,8040,7289,7346
patient070/s0235lre,8780,8493,9502,8752,8808
patient070/s0235lre,10246,9703,10440,10219,10275
patient070/s0235lre,11746,11430,12364,11721,11774
patient070/s0235lre,13235,12919,13440,13206,13264
patient070/s0235lre,14744,14415,14940,14716,14773
patient070/s0235lre,16266,15918,16885,16237,16295
patient070/s0235lre,17757,17451,17962,17728,17786
patient070/s0235lre,19244,18700,19441,19216,19273
patient070/s0235lre,20720,20418,21336,20692,20749
patient070/s0235lre,22197,21927,22398,22169,22226
patient070/s0235lre,23692,23395,23889,23664,23721
patient070/s0235lre,25190,24879,25797,25162,25219
patient070/s0235lre,26667,26127,26869,26639,26696
patient070/s0235lre,28160,27610,28797,28132,28189
patient070/s0235lre,29703,29370,30340,29674,29730
patient070/s0235lre,31253,30966,31450,31224,31281
patient070/s0235lre,32820,32464,33475,32792,32848
patient070/s0235lre,34393,34068,35029,34364,34421
patient070/s0235lre,35927,35587,36559,35898,35956
patient070/s0235lre,37455,37161,38079,37427,37483
patient070/s0235lre,38956,38641,39565,38927,38984
patient070/s0235lre,40437,40125,41053,40409,40466
patient070/s0235lre,41936,41634,42550,41908,41965
patient070/s0235lre,43433,43114,44043,43405,43461
patient070/s0235lre,44924,44367,45541,44895,44952
patient070/s0235lre,46441,46096,47079,46412,46469
patient070/s0235lre,47975,47673,48423,47946,48004
patient070/s0235lre,49537,49192,50181,49509,49566
patient070/s0235lre,51079,50776,51702,51051,51107
patient070/s0235lre,52584,52270,53200,52556,52612
patient070/s0235lre,54085,53529,54694,54056,54113
patient070/s0235lre,55566,55290,56172,55539,55595
patient070/s0235lre,57059,56797,57256,57031,57088
patient070/s0235lre,58601,58269,59239,58573,58630
patient070/s0235lre,60137,59776,60331,60108,60166
patient070/s0235lre,61675,61111,62307,61647,61704
patient070/s0235lre,63186,62880,63796,63157,63214
patient070/s0235lre,64669,64354,65287,64641,64698
patient070/s0235lre,66181,65886,66802,66153,66209
patient070/s0235lre,67679,67392,68305,67650,67707
patient070/s0235lre,69200,68893,69394,69172,69229
patient070/s0235lre,70734,70426,71361,70706,70762
patient070/s0235lre,72248,71946,72870,72219,72277
patient070/s0235lre,73768,73200,74416,73740,73797
patient070/s0235lre,75322,75043,75960,75294,75350
patient070/s0235lre,76863,76527,77061,76834,76892
patient070/s0235lre,78425,78121,79090,78398,78454
patient070/s0235lre,80011,79668,80374,79982,80039
patient070/s0235lre,81571,81258,81771,81543,81600
patient070/s0235lre,83124,82540,83319,83095,83153
patient070/s0235lre,84680,84400,85302,84653,84708
patient070/s0235lre,86189,85864,86392,86161,86218
patient070/s0235lre,87685,87387,88290,87657,87714
patient070/s0235lre,89152,88866,89877,89123,89180
patient070/s0235lre,90614,90324,90810,90586,90643
patient070/s0235lre,92096,91776,92703,92068,92124
patient070/s0235lre,93563,93238,94291,93534,93592
patient070/s0235lre,95027,94707,95754,94999,95056
patient070/s0235lre,96493,96183,97213,96467,96522
patient070/s0235lre,97942,97639,98664,97914,97971
patient070/s0235lre,99401,99082,100120,99373,99430
patient070/s0235lre,100843,100545,101541,100815,100871
patient070/s0235lre,102251,101740,102960,102222,102279
patient070/s0235lre,103685,103372,104403,103657,103714
patient070/s0235lre,105131,104838,105840,105102,105159
patient070/s0235lre,106564,106039,107277,106535,106592
patient070/s0235lre,107983,107694,108657,107955,108011
patient070/s0235lre,109354,109098,110052,109326,109383
patient070/s0235lre,110763,110458,111465,110734,110791
patient070/s0235lre,112188,111904,112906,112159,112215
patient070/s0235lre,113647,113340,114369,113619,113675
patient084/s0289lre,1744,1410,2034,1677,1772
patient084/s0289lre,3457,3075,3747,3424,3485
patient084/s0289lre,5152,4753,5437,5092,5181
patient084/s0289lre,6844,6529,7140,6811,6874
patient084/s0289lre,9384,8767,9679,9351,9412
patient084/s0289lre,11076,10686,11368,10996,11104
patient084/s0289lre,12743,12351,13035,12710,12772
patient084/s0289lre,14383,14007,15192,14319,14412
patient084/s0289lre,16026,15658,16318,15994,16054
patient084/s0289lre,17704,17164,17991,17644,17733
patient084/s0289lre,19384,19026,19666,19350,19413
patient084/s0289lre,21081,20703,21372,21050,21110
patient084/s0289lre,22753,22213,23044,22693,22783
patient084/s0289lre,24397,24048,24693,24366,24426
patient084/s0289lre,26047,25692,26343,26014,26076
patient084/s0289lre,27741,27358,28032,27709,27770
patient084/s0289lre,29428,29049,29721,29395,29457
patient084/s0289lre,31080,30718,31885,30991,31110
patient084/s0289lre,32690,32373,33493,32658,32719
patient084/s0289lre,34329,33961,34618,34268,34357
patient084/s0289lre,36012,35655,36300,35949,36041
patient084/s0289lre,37718,37405,38014,37686,37747
patient084/s0289lre,39413,39036,39708,39348,39441
patient084/s0289lre,41131,40726,41425,41099,41159
patient084/s0289lre,42826,42276,43117,42766,42856
patient084/s0289lre,44489,44143,44781,44457,44518
patient084/s0289lre,46137,45780,46431,46072,46166
patient084/s0289lre,47809,47446,48100,47775,47838
patient084/s0289lre,49518,49251,49807,49457,49547
patient084/s0289lre,51227,50868,51517,51195,51256
patient084/s0289lre,52927,52611,53224,52838,52956
patient084/s0289lre,54604,54229,54900,54538,54633
patient084/s0289lre,56304,55942,56595,56269,56334
patient084/s0289lre,57994,57447,58282,57919,58024
patient084/s0289lre,59694,59388,59988,59618,59723
patient084/s0289lre,61387,61009,61681,61356,61415
patient084/s0289lre,63110,62743,63400,63077,63139
patient084/s0289lre,64807,64423,65091,64735,64835
patient084/s0289lre,66468,65941,66759,66410,66497
patient084/s0289lre,68109,67587,68401,68073,68138
patient084/s0289lre,69756,69423,70045,69691,69785
patient084/s0289lre,71420,70884,71706,71352,71449
patient084/s0289lre,73091,72718,73381,73032,73120
patient084/s0289lre,74781,74416,75070,74750,74810
patient084/s0289lre,76488,75928,76779,76405,76517
patient084/s0289lre,78176,77632,78465,78100,78205
patient084/s0289lre,79842,79482,80131,79779,79872
patient084/s0289lre,81483,81129,81772,81436,81512
patient084/s0289lre,83135,82762,83425,83077,83163
patient084/s0289lre,84854,84528,85140,84792,84883
patient084/s0289lre,86568,86001,86859,86535,86597
patient084/s0289lre,88279,87979,88569,88247,88309
patient084/s0289lre,89971,89635,90267,89936,90001
patient084/s0289lre,91656,91314,91944,91572,91683
patient084/s0289lre,93364,92805,93654,93332,93392
patient084/s0289lre,95069,94675,95356,95033,95098
patient084/s0289lre,96767,96442,97065,96705,96796
patient084/s0289lre,98454,98073,98743,98366,98482
patient084/s0289lre,100157,99768,100444,100124,100186
patient084/s0289lre,101849,101461,102138,101817,101878
patient084/s0289lre,103513,102978,103804,103478,103542
patient084/s0289lre,105169,104829,105460,105136,105198
patient084/s0289lre,106858,106294,107149,106795,106886
patient084/s0289lre,108577,108019,108871,108543,108606
patient084/s0289lre,110285,109977,110572,110252,110316
patient084/s0289lre,111952,111606,112243,111921,111981
patient084/s0289lre,113639,113266,113931,113606,113668
patient084/s0281lre,1169,642,1425,1081,1196
patient084/s0281lre,2724,2436,3481,2662,2748
patient084/s0281lre,4268,3973,5025,4186,4292
patient084/s0281lre,6577,6078,6832,6545,6601
patient084/s0281lre,8123,7618,8758,8065,8147
patient084/s0281lre,9698,9174,9955,9666,9723
patient084/s0281lre,11326,10972,11583,11245,11349
patient084/s0281lre,12950,12408,13194,12919,12978
patient084/s0281lre,14549,14250,14796,14518,14577
patient084/s0281lre,16150,15820,16402,16117,16177
patient084/s0281lre,17736,17217,18492,17652,17759
patient084/s0281lre,19273,18765,19525,19190,19296
patient084/s0281lre,20831,20316,21088,20765,20854
patient084/s0281lre,22475,22113,22734,22444,22500
patient084/s0281lre,24133,23775,24796,24060,24157
patient084/s0281lre,25726,25407,26355,25695,25754
patient084/s0281lre,27261,26949,28000,27177,27289
patient084/s0281lre,28752,28284,29478,28711,28776
patient084/s0281lre,30231,29760,30963,30153,30254
patient084/s0281lre,31738,31245,31998,31708,31765
patient084/s0281lre,33314,33024,33571,33247,33337
patient084/s0281lre,34902,34618,35149,34869,34926
patient084/s0281lre,36487,36196,36738,36404,36510
patient084/s0281lre,38059,37747,38308,38026,38085
patient084/s0281lre,39623,39312,40255,39563,39647
patient084/s0281lre,41176,40915,41814,41141,41199
patient084/s0281lre,42752,42228,43008,42720,42779
patient084/s0281lre,44370,44044,44625,44302,44397
patient084/s0281lre,45969,45627,46213,45937,45997
patient084/s0281lre,47542,47032,48175,47482,47566
patient084/s0281lre,49109,48591,49366,49041,49132
patient084/s0281lre,50701,50170,50953,50667,50724
patient084/s0281lre,52321,52017,52557,52288,52348
patient084/s0281lre,53927,53604,54181,53890,53950
patient084/s0281lre,55521,55209,55774,55491,55549
patient084/s0281lre,57110,56583,57358,57075,57137
patient084/s0281lre,58649,58140,59404,58616,58673
patient084/s0281lre,60194,59688,60457,60137,60218
patient084/s0281lre,61812,61489,62071,61780,61838
patient084/s0281lre,63450,63127,64107,63419,63478
patient084/s0281lre,65038,64734,65295,65004,65061
patient084/s0281lre,66607,66093,66861,66523,66630
patient084/s0281lre,68159,67654,68838,68125,68183
patient084/s0281lre,69766,69315,70036,69683,69793
patient084/s0281lre,71379,71067,71632,71299,71403
patient084/s0281lre,73012,72667,73258,72981,73040
patient084/s0281lre,74585,74260,75225,74554,74613
patient084/s0281lre,76158,75847,76411,76096,76181
patient084/s0281lre,77746,77451,78397,77677,77773
patient084/s0281lre,79336,79041,79992,79276,79360
patient084/s0281lre,80942,80631,81597,80873,80970
patient084/s0281lre,82540,82215,83187,82474,82567
patient084/s0281lre,84125,83604,84381,84053,84150
patient084/s0281lre,85669,85363,86418,85636,85693
patient084/s0281lre,87198,86700,87948,87133,87225
patient084/s0281lre,88737,88230,88993,88672,88764
patient084/s0281lre,90300,89778,90550,90267,90327
patient084/s0281lre,91882,91579,92136,91848,91905
patient084/s0281lre,93486,93186,93741,93408,93509
patient084/s0281lre,95069,94753,95698,95005,95092
patient084/s0281lre,96614,96114,97366,96547,96641
patient084/s0281lre,98148,97849,98907,98086,98171
patient084/s0281lre,99718,99412,99973,99683,99742
patient084/s0281lre,101336,101010,102007,101304,101363
patient084/s0281lre,102978,102624,103654,102903,103003
patient084/s0281lre,104600,104284,105315,104537,104624
patient084/s0281lre,106198,105766,nan,106138,106225
patient084/s0281lre,107744,107112,108483,107713,107772
patient084/s0281lre,109241,108750,109984,109180,109268
patient084/s0281lre,110778,110262,111037,110698,110801
patient084/s0281lre,112442,112108,112699,112358,112466
patient084/s0281lre,114144,113791,114840,114082,114167
patient084/s0313lre,1221,954,1573,1156,1250
patient084/s0313lre,2209,1876,2563,2153,2237
patient084/s0313lre,3215,2935,3567,3142,3243
patient084/s0313lre,4222,3936,4576,4188,4251
patient084/s0313lre,5215,4920,5568,5153,5245
patient084/s0313lre,6195,5889,6549,6144,6222
patient084/s0313lre,7199,6882,7557,7137,7227
patient084/s0313lre,8198,7933,8556,8113,8227
patient084/s0313lre,9192,8920,9549,9158,9220
patient084/s0313lre,10171,9856,10524,10115,10200
patient084/s0313lre,11139,10867,11346,11094,11170
patient084/s0313lre,12086,11802,12441,11999,12116
patient084/s0313lre,13051,12699,13408,12974,13080
patient084/s0313lre,14015,13771,14370,13939,14044
patient084/s0313lre,15011,14761,15366,14955,15039
patient084/s0313lre,16014,15766,16372,15947,16043
patient084/s0313lre,17034,16737,17395,16962,17062
patient084/s0313lre,18041,17784,18295,17961,18069
patient084/s0313lre,19023,18744,19371,18990,19053
patient084/s0313lre,19973,19692,20229,19912,20003
patient084/s0313lre,20945,20674,21312,20868,20973
patient084/s0313lre,21908,21655,22266,21844,21936
patient084/s0313lre,22870,22621,23227,22792,22899
patient084/s0313lre,23833,23557,24192,23735,23863
patient084/s0313lre,24801,24544,25150,24736,24829
patient084/s0313lre,25775,25492,25996,25714,25805
patient084/s0313lre,26765,26445,27118,26689,26795
patient084/s0313lre,27769,27516,28113,27734,27800
patient084/s0313lre,28718,28465,29059,28639,28749
patient084/s0313lre,29666,29415,30015,29593,29694
patient084/s0313lre,30648,30360,30997,30571,30675
patient084/s0313lre,31654,31408,32005,31618,31682
patient084/s0313lre,32685,32347,33049,32600,32713
patient084/s0313lre,33720,33469,34068,33621,33751
patient084/s0313lre,34733,34461,35089,34700,34763
patient084/s0313lre,35765,35424,36127,35695,35794
patient084/s0313lre,36797,36508,37027,36764,36824
patient084/s0313lre,37814,37567,38178,37781,37843
patient084/s0313lre,38816,38544,39178,38737,38844
patient084/s0313lre,39806,39526,40044,39751,39834
patient084/s0313lre,40772,40524,41124,40740,40803
patient084/s0313lre,41712,41436,42067,41678,41743
patient084/s0313lre,42647,42394,43005,42585,42675
patient084/s0313lre,43601,43351,43959,43516,43629
patient084/s0313lre,44571,44299,44928,44476,44599
patient084/s0313lre,45573,45295,45930,45509,45601
patient084/s0313lre,46585,46294,46942,46493,46613
patient084/s0313lre,47616,47364,47974,47548,47645
patient084/s0313lre,48677,48400,49035,48593,48705
patient084/s0313lre,49726,49440,50082,49629,49754
patient084/s0313lre,50756,50478,51106,50687,50787
patient084/s0313lre,51759,51517,52122,51679,51790
patient084/s0313lre,52800,52524,53163,52728,52828
patient084/s0313lre,53837,53524,54195,53760,53865
patient084/s0313lre,54875,54570,55236,54815,54903
patient084/s0313lre,55901,55590,56262,55810,55930
patient084/s0313lre,56912,56662,57112,56879,56942
patient084/s0313lre,57882,57640,58086,57803,57912
patient084/s0313lre,58840,58552,59200,58807,58868
patient084/s0313lre,59818,59553,60175,59747,59846
patient084/s0313lre,60830,60534,61192,60757,60857
patient084/s0313lre,61851,61579,62212,61763,61879
patient084/s0313lre,62880,62602,63240,62816,62908
patient084/s0313lre,63888,63642,64246,63855,63918
patient084/s0313lre,64870,64605,65218,64782,64901
patient084/s0313lre,65861,65604,66219,65799,65889
patient084/s0313lre,66859,66570,67221,66780,66888
patient084/s0313lre,67852,67521,68211,67778,67880
patient084/s0313lre,68841,68583,69193,68780,68869
patient084/s0313lre,69816,69568,70162,69748,69844
patient084/s0313lre,70777,70515,71124,70719,70808
patient084/s0313lre,71721,71431,72072,71645,71751
patient084/s0313lre,72671,72408,73029,72638,72699
patient084/s0313lre,73628,73323,73978,73556,73655
patient084/s0313lre,74596,74331,74956,74540,74624
patient084/s0313lre,75574,75289,75927,75480,75602
patient084/s0313lre,76543,76285,76776,76474,76573
patient084/s0313lre,77509,77220,77737,77437,77539
patient084/s0313lre,78477,78151,78691,78415,78505
patient084/s0313lre,79443,79167,79798,79377,79472
patient084/s0313lre,80411,80112,80772,80319,80439
patient084/s0313lre,81382,81090,81735,81322,81410
patient084/s0313lre,82354,82098,82714,82273,82382
patient084/s0313lre,83327,83062,83677,83294,83356
patient084/s0313lre,84290,84012,84634,84236,84320
patient084/s0313lre,85223,84942,85569,85147,85254
patient084/s0313lre,86183,85903,86542,86094,86212
patient084/s0313lre,87183,86854,87546,87118,87212
patient084/s0313lre,88185,87847,88543,88110,88214
patient084/s0313lre,89188,88854,89541,89117,89216
patient084/s0313lre,90152,89877,90388,90119,90182
patient084/s0313lre,91108,90867,91314,91043,91136
patient084/s0313lre,92098,91842,92452,92042,92126
patient084/s0313lre,93122,92817,93477,93085,93150
patient084/s0313lre,94172,93910,94530,94102,94200
patient084/s0313lre,95230,94950,95593,95147,95258
patient084/s0313lre,96285,96021,96637,96212,96313
patient084/s0313lre,97285,97026,97647,97210,97316
patient084/s0313lre,98275,98035,98641,98204,98304
patient084/s0313lre,99267,98937,99633,99193,99295
patient084/s0313lre,100257,99981,100534,100190,100286
patient084/s0313lre,101246,100939,101499,101176,101274
patient084/s0313lre,102229,101908,102589,102143,102259
patient084/s0313lre,103205,102924,103405,103172,103232
patient084/s0313lre,104178,103911,104524,104117,104208
patient084/s0313lre,105130,104892,105487,105064,105161
patient084/s0313lre,106096,105805,106329,106021,106124
patient084/s0313lre,107081,106777,107439,107019,107109
patient084/s0313lre,108093,107851,108456,108016,108120
patient084/s0313lre,109116,108823,109471,109045,109144
patient084/s0313lre,110137,109872,110493,110072,110167
patient084/s0313lre,111131,110865,111354,111047,111162
patient084/s0313lre,112117,111832,112473,112066,112145
patient084/s0313lre,113102,112831,113461,113024,113131
patient084/s0313lre,114104,113772,114462,114044,114132
patient079/s0256lre,1022,732,1242,1020,1023
patient079/s0256lre,2514,2229,2746,2511,2516
patient079/s0256lre,4007,3678,4252,3588,4009
patient079/s0256lre,5500,5199,5734,5070,5502
patient079/s0256lre,6993,6676,7237,6989,6995
patient079/s0256lre,8486,8161,8709,8484,8488
patient079/s0256lre,9979,9660,10224,9977,9981
patient079/s0256lre,11472,11200,11688,11470,11474
patient079/s0256lre,12965,12655,13207,12963,12967
patient079/s0256lre,14458,14136,14682,14456,14462
patient079/s0256lre,15951,15628,16197,15949,15952
patient079/s0256lre,17444,17113,17685,17442,17445
patient079/s0256lre,18937,18625,19360,18935,18938
patient079/s0256lre,20429,20110,20671,20014,20431
patient079/s0256lre,21922,21609,22158,21506,21924
patient079/s0256lre,23415,23106,23661,22994,23417
patient079/s0256lre,24908,24561,25126,24902,24910
patient079/s0256lre,26401,26094,26841,26397,26403
patient079/s0256lre,27894,27568,28117,27892,27896
patient079/s0256lre,29387,29089,29631,29385,29389
patient079/s0256lre,30880,30555,31119,30878,30882
patient079/s0256lre,32373,32073,32596,32371,32375
patient079/s0256lre,33866,33550,34108,33864,33868
patient079/s0256lre,35359,35049,35590,35357,35363
patient079/s0256lre,36852,36550,37078,36850,36853
patient079/s0256lre,38345,38016,38580,38343,38346
patient079/s0256lre,39837,39528,40066,39409,39839
patient079/s0256lre,41330,41007,41565,40901,41332
patient079/s0256lre,42823,42513,43080,42400,42825
patient079/s0256lre,44316,43987,44557,43884,44318
patient079/s0256lre,45809,45483,46050,45805,45811
patient079/s0256lre,47302,46965,47535,47300,47304
patient079/s0256lre,48795,48484,49033,48793,48797
patient079/s0256lre,50288,49977,50526,50286,50290
patient079/s0256lre,51781,51468,52006,51779,51783
patient079/s0256lre,53274,52959,53512,53272,53278
patient079/s0256lre,54767,54487,54987,54765,54768
patient079/s0256lre,56260,55945,56512,56258,56261
patient079/s0256lre,57753,57463,57979,57751,57754
patient079/s0256lre,59245,58929,59466,58816,59247
patient079/s0256lre,60738,60412,60981,60316,60740
patient079/s0256lre,62231,61918,62454,61805,62233
patient079/s0256lre,63724,63408,63964,63302,63726
patient079/s0256lre,65217,64896,65439,65213,65219
patient079/s0256lre,66710,66382,66955,66706,66712
patient079/s0256lre,68203,67872,68436,68201,68205
patient079/s0256lre,69696,69372,69937,69694,69698
patient079/s0256lre,71189,70857,71427,71187,71191
patient079/s0256lre,72682,72369,72913,72680,72684
patient079/s0256lre,74175,73854,74416,74173,74179
patient079/s0256lre,75668,75349,75913,75666,75669
patient079/s0256lre,77161,76842,77382,77159,77162
patient079/s0256lre,78654,78322,78879,78652,78655
patient079/s0256lre,80147,79827,80388,80145,80148
patient079/s0256lre,81639,81339,81862,81200,81641
patient079/s0256lre,83132,82831,83379,82711,83134
patient079/s0256lre,84625,84301,84867,84184,84627
patient079/s0256lre,86118,85887,86356,86114,86120
patient079/s0256lre,87611,87292,87855,87609,87613
patient079/s0256lre,89104,88765,89331,89102,89106
patient079/s0256lre,90597,90276,90844,90595,90599
patient079/s0256lre,92090,91755,92307,92088,92092
patient079/s0256lre,93583,93271,93817,93581,93585
patient079/s0256lre,95076,94870,95307,95074,95077
patient079/s0256lre,96569,96240,96796,96567,96570
patient079/s0256lre,98061,97756,98290,97636,98063
patient079/s0256lre,99554,99235,99784,99127,99556
patient079/s0256lre,101047,100714,101278,101041,101049
patient079/s0256lre,102540,102226,102778,102536,102542
patient079/s0256lre,104033,103705,104247,104031,104035
patient079/s0256lre,105526,105208,105762,105524,105528
patient079/s0256lre,107019,106666,107247,107017,107021
patient079/s0256lre,108512,108198,108751,108510,108514
patient079/s0256lre,110005,109678,110233,110003,110007
patient079/s0256lre,111498,111193,111745,111496,111502
patient079/s0256lre,112991,112665,113227,112989,112992
patient079/s0256lre,114484,114165,114714,114482,114485
patient079/s0269lre,1526,1257,1893,1493,1765
patient079/s0269lre,3251,2988,3610,3217,3497
patient079/s0269lre,5063,4825,5416,5029,5315
patient079/s0269lre,6865,6600,7218,6831,7118
patient079/s0269lre,7841,7573,8200,7807,8091
patient079/s0269lre,8819,8538,9174,8786,9075
patient079/s0269lre,9740,9487,10095,9714,9993
patient079/s0269lre,10645,10387,11005,10619,10896
