PATIENT_NAME,ECG_P_Onsets,ECG_P_Peaks,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Onsets,ECG_T_Peaks,ECG_T_Offsets
patient020/s0079lre,57917.850746268654,57976.21641791045,58010.28358208955,57636.31111111112,57615.925705400485,57767.17037037037,57729.28888888889,57418.485074626864,57510.58208955224,57584.67910447761
patient187/s0207_re,19106.905673758865,18883.871980676333,19201.99054373522,18888.912280701756,18852.9861379755,19093.714530892452,18761.204545454544,18975.907077724707,18829.138647342996,18969.125768321515
patient088/s0413lre,58038.204545454544,58086.931818181816,58122.13636363636,57843.57627118644,57819.31073446327,57953.835444522636,57906.64971751413,57682.21590909091,57780.96022727273,57847.96590909091
patient088/s0339lre,57793.61111111111,57842.10416666666,57882.333333333336,57532.47586206897,57507.31034482759,57643.92091936112,57600.43448275862,57312.756944444445,57412.333333333336,57482.84722222222
patient088/s0343lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient088/s0352lre,57453.19379844961,57501.651162790695,57544.79069767442,57153.53846153846,57131.24615384615,57296.00620915032,57224.08461538461,56880.73643410853,56980.73643410853,57051.8527131783
patient151/s0206_re,19910.039743589747,19949.760256410256,19983.570192307692,19337.179487179485,19416.89057350033,19626.999564459933,19795.08108108108,19406.383012820515,19536.440384615387,19540.78237179487
patient208/s0430_re,59997.79389312977,60060.32061068702,60105.30534351145,60301.658040488925,60277.31555576776,60331.0603654485,60422.11363636364,59986.70992366412,60060.32061068702,60130.916030534354
patient208/s0429_re,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient059/s0208lre,57975.57738095238,58048.35119047619,58081.60119047619,57841.45562130178,57841.73114566985,57947.0812232757,57973.15955200457,57948.88095238096,58029.00595238096,58081.017857142855
patient179/s0176_re,19483.57398932113,19485.04,19520.48,19270.43137254902,19270.466457680253,19416.56862745098,19367.72549019608,19169.92429443173,19257.7,19322.1
patient165/s0323lre,58295.75675675676,58369.31531531532,58403.63963963964,58045.88392857143,58012.330357142855,58183.442090513636,58150.482142857145,57738.01801801802,57838.01801801802,57906.26126126127
patient165/s0322lre,58567.82882882883,58639.43243243243,58676.64864864865,58330.955357142855,58301.125,58500.03405172414,58434.99107142857,58023.42342342343,58123.42342342343,58192.47747747748
patient141/s0307lre,58153.67360571695,58216.43708609272,58264.09933774835,57961.17763157895,57935.17105263158,58085.94176215374,58034.0393939394,57822.5959288938,57893.03311258278,57968.953642384105
patient019/s0070lre,57863.939024390245,57928.76829268293,57979.73170731707,57682.47878787879,57642.73154362416,57769.18585632612,57742.09696969697,57426.040409653855,57490.939024390245,57614.55576845502
patient019/s0077lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient019/s0058lre,57176.40718562874,57233.68862275449,57288.87425149701,57002.70238095238,56981.56547619047,57109.625,57066.47023809524,56865.653203062044,56836.36526946108,56928.7245508982
patient139/s0223_re,19910.039743589747,19949.760256410256,19983.570192307692,19337.179487179485,19416.89057350033,19626.999564459933,19693.044776119405,19406.383012820515,19536.440384615387,19540.78237179487
patient121/s0311lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient085/s0297lre,57113.96808510638,57211.244680851065,57258.7340425532,57255.71380090498,57110.07382711599,57314.78172043011,57359.64835972851,57089.28723404255,57188.09574468085,57261.72340425532
patient085/s0296lre,57549.373239436616,57649.34507042253,57692.19014084507,57682.06002475247,57671.14800443459,57873.36006960924,57877.67832167832,57549.34507042253,57649.34507042253,57712.380281690144
patient085/s0345lre,57901.92700729927,57990.58394160584,58036.75182481752,57965.353493710994,57899.43659395746,58012.35369802318,58198.985507246376,57873.02919708029,57973.02919708029,58041.81751824817
patient085/s0298lre,58653.35164835165,58747.27472527473,58796.593406593405,58627.46957697508,58870.54347826087,58968.93284204672,59031.17391304348,58539.12087912088,58639.12087912088,58713.63736263736
patient095/s0373lre,58158.95798319328,58217.26890756303,58254.12605042017,57821.80833333333,57712.1840060436,57976.990822897125,57939.125,57520.56302521008,57619.91596638656,57690.73949579832
patient095/s0377lre,57709.842975206615,57770.47107438016,57805.57024793389,57381.401639344265,57366.021518627356,57483.65725686528,57496.69672131148,57083.87603305785,57183.69421487604,57255.57851239669
patient095/s0417lre,58041.62043795621,58109.18978102189,58140.57664233576,57833.39855072464,57824.759966556456,57955.83948998594,57945.31884057971,57581.01459854015,57680.93430656935,57746.67153284672
patient095/s0369lre,58242.180645161294,58304.49032258065,58336.74838709678,58010.455128205125,57968.64193548387,58152.766485036824,58111.15384615384,57790.28387096775,57889.89032258064,57960.17419354839
patient243/s0472_re,59690.55737704918,59758.530054644805,59795.901639344265,59640.51973375557,59712.24599761052,59763.398148148146,59715.22826086957,59472.96721311475,59572.39344262295,59640.49180327869
patient195/s0337lre,57906.529437715566,58002.57419354839,58037.823714606566,57965.353493710994,57942.206506147544,58069.70970847085,58174.429487179485,57887.23712601267,58002.57419354839,58048.28513275046
patient186/s0293lre,57759.80689655172,57846.972413793104,57899.05517241379,57844.2818835455,57955.60958904109,58059.59527425135,58091.12328767123,57746.972413793104,57846.972413793104,57926.0
patient066/s0225lre,57884.00176283935,57940.528969326595,57987.003173110825,57639.78480902778,57612.463087248325,57810.7761627907,57761.590604026846,57516.3632127193,57618.85979551064,57735.27933250414
patient066/s0231lre,58187.78947368421,58257.62406015037,58299.3007518797,57942.53731343283,57911.38805970149,58059.59527425135,58061.55223880597,58176.51879699248,58254.31578947369,58311.9022556391
patient066/s0280lre,57854.50746268657,57910.80597014925,57967.31343283582,57640.15555555555,57605.54814814815,57787.88113516639,57768.11851851852,57522.526754385966,57679.37313432836,57747.0447761194
patient131/s0273lre,57911.26020408164,57981.36224489796,58019.06122448979,57800.29441624365,57671.14800443459,57904.1116751269,57868.94923857868,57622.5213131005,57770.59693877551,57829.82142857143
patient037/s0120lre,58059.13740458015,58113.19847328244,58154.770992366415,57768.371212121216,57745.22727272727,57898.813166361746,57867.621212121216,57532.49618320611,57632.24427480916,57701.31297709924
patient037/s0112lre,58867.37226277372,58920.76642335767,58961.52554744526,58591.36956521739,58568.01449275362,58671.0121564482,58691.760869565216,58380.970802919706,58479.17518248176,58552.78102189781
patient130/s0166_re,19910.039743589747,19949.760256410256,19983.570192307692,19337.179487179485,19416.89057350033,19626.999564459933,19714.916666666668,19406.383012820515,19536.440384615387,19540.78237179487
patient177/s0366lre,58584.00083598726,58648.261524681526,58694.87585589172,58390.551812249396,58342.30483921693,58519.75873776187,58480.93984962406,58222.6611066879,58321.616679936305,58395.76705812102
patient093/s0396lre,58637.9125,58710.29375,58747.99375,58416.87577639752,58351.22360248448,58522.068322981366,58482.70186335404,58238.1375,58337.7875,58411.38125
patient093/s0378lre,58238.00740740741,58293.48888888889,58365.94814814815,57977.955882352944,57943.356464116034,58088.622875932386,58043.90441176471,57712.57724056604,57809.333333333336,57856.525925925926
patient093/s0367lre,58740.06140996394,58800.15273382883,58831.25822356318,58392.220338983054,58373.58836374224,58508.47166149068,58498.37717013889,58222.6611066879,58173.029619545225,58411.28521959459
patient093/s0375lre,59042.38888888889,59103.142857142855,59164.15873015873,58743.53543307087,58699.88976377953,58846.33858267716,58805.18110236221,58435.80211555115,58554.53174603175,58601.88095238096
patient093/s0371lre,57895.328571428574,57945.328571428574,58001.19285714286,57827.29787234042,57776.32624113475,57928.86524822695,57887.04255319149,57622.5213131005,57725.857142857145,57790.92142857143
patient140/s0019_re,19483.57398932113,19403.208237986273,19442.36441647597,19269.587431693988,19283.036363636365,19418.52055702918,19408.56363636364,19126.762013729975,19222.160183066364,19294.82780320366
patient184/s0363lre,58240.01212121212,58293.7393939394,58331.15151515151,58048.98795180723,58026.32530120482,58204.53951080226,58141.676958818156,57893.49696969697,57977.1393939394,58067.320865508365
patient282/s0539_re,60735.8,60815.566666666666,60845.04166666666,60389.09917355372,60361.12396694215,60530.41329439578,60496.8347107438,60183.964138134594,60213.76666666667,60280.5
patient172/s0304lre,57559.6484375,57656.6640625,57703.625,57673.833850096096,57602.2859990697,57825.992248062015,57783.96899224806,57503.65625,57603.65625,57676.765625
patient245/s0480_re,60869.188524590165,60920.598360655735,60965.516393442624,60594.16976902174,60531.4978272929,60769.7271012931,60692.78048780488,60321.38524590164,60419.75409836065,60489.22131147541
patient245/s0474_re,60083.792207792205,60135.142857142855,60173.26623376623,59856.8,59884.434822845054,60027.85667971618,59973.367741935486,59654.27272727273,59754.24025974026,59822.85064935065
patient029/s0098lre,57763.17309847318,57816.823294579066,57848.30904188262,57404.26380368098,57364.0,57498.67610531545,57496.64977958397,57138.404223280566,57235.573714806,57310.593395433534
patient029/s0092lre,57789.88648648649,57847.248648648645,57890.15135135135,57672.25268817204,57629.45161290323,57787.88113516639,57765.51419602264,57580.93948391844,57644.7945945946,57716.37837837838
patient029/s0122lre,57587.52469135803,57650.23456790124,57688.154320987655,57421.31901840491,57372.78698224852,57517.302789802794,57545.926380368095,57262.7962962963,57360.91358024691,57431.64814814815
patient268/s0505_re,60419.58646616541,60473.4060150376,60525.18045112782,60148.91044776119,60227.002337803555,60420.24729022044,60439.22388059701,60132.458773784354,60197.96992481203,60287.077353437526
patient044/s0146lre,57782.62162162162,57833.64864864865,57862.85810810811,57520.8322147651,57488.39829706718,57664.79833112583,57628.26174496644,57317.06829884388,57341.44594594595,57470.92902121078
patient044/s0143lre,50555.921757035,50614.45015442691,50661.017072752235,48509.34013605442,50216.41739130435,50500.99671052632,48603.19047619047,49973.356297185994,50067.18230954015,50148.256348661635
patient044/s0159lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient044/s0142lre,58174.983050847455,58223.85875706215,58251.57062146893,57964.286516853936,57911.01459951069,58098.26966292135,58052.2191011236,57661.07769491525,57811.85310734464,57907.38360085308
patient008/s0028lre,57819.24107142857,57896.875,57940.78571428572,57754.345132743365,57712.34193548387,57787.88113516639,57968.69070208729,57473.02678571428,57570.49107142857,57657.63392857143
patient008/s0037lre,58569.26229508197,58641.31967213115,58672.69672131148,58274.74796747968,58248.0406504065,58356.70888036242,58395.15447154472,58035.458088523315,58101.05737704918,58187.18032786885
patient008/s0068lre,57970.28318584071,58043.55752212389,58076.902654867255,57679.92105263158,57649.01754385965,57835.87818627451,57805.02631578947,57389.566371681416,57488.95575221239,57571.53097345133
patient079/s0263lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient079/s0256lre,57745.56979268805,57799.608418546006,57829.41647989915,57391.3051948052,57379.06493506493,57472.51298701299,57501.75324675325,57108.40835551197,57205.486937946494,57282.05620535089
patient079/s0269lre,57900.15172448568,57957.388614360636,58000.73300726099,57646.36025354214,57584.51058877524,57769.18585632612,57730.700787401576,57448.64456434046,57544.50050423558,57614.55576845502
patient079/s0257lre,58225.00411184211,58283.30548878205,58296.46768363216,57976.14126818138,57956.867970177256,58114.96936383478,58070.9606741573,57942.728148496244,57871.83413461538,57945.13171073718
patient217/s0439_re,59992.3732892562,60056.98370247934,60091.33514049587,59684.94257584323,59692.90241998439,59763.398148148146,59782.496062992126,59460.78102479339,59560.71943801653,59635.23223140496
patient035/s0110lre,58024.39884393064,58071.13294797688,58114.05780346821,57844.19540229885,57817.40804597701,57950.31034482759,57910.0632183908,57704.901734104045,57804.56647398844,57869.59537572254
patient035/s0119lre,58156.92682926829,58207.865853658535,58253.25,57987.87272727273,57954.98787878788,58071.92317501896,58048.47878787879,57822.5959288938,57943.93292682927,57993.32317073171
patient035/s0124lre,58005.60674157304,58055.83707865168,58106.808988764045,57852.20111731844,57822.95530726257,57954.31843575419,57917.99441340782,57646.822924270076,57705.45505617977,57814.47960526316
patient035/s0145lre,57922.53293413173,57969.976047904194,58021.46107784431,57738.36309523809,57714.18452380953,57871.1599451699,57805.16666666666,57574.83411284891,57709.838323353295,57760.493902884264
patient259/s0495_re,60219.43965517241,60288.11206896552,60334.48275862069,60058.38305759326,60064.717839601064,60113.90673449612,60148.97442250664,59862.06896551724,59961.09482758621,60033.99137931035
patient293/s0557_re,60500.98966165413,60564.229323308275,60599.93327067669,60253.072114915616,60226.10350209735,60420.24729022044,60308.18243243243,60022.58458646617,60122.578007518794,60200.77772556391
patient293/s0558_re,60525.44993239817,60499.638420920295,60541.88739418323,60450.86948650428,60423.91458196181,60717.88246527778,60666.02097902098,60246.13592191989,60210.67500628615,60416.81684130472
patient014/s0046lre,57651.27950310559,57707.90062111801,57750.00621118012,57465.06172839506,57451.20987654321,57562.09259259259,57526.05555555556,57259.344246031746,57334.96273291925,57411.86335403727
patient014/s0056lre,57872.39677011909,57937.70748827138,57972.119379285454,57650.24076451291,57598.17923620026,57789.42905535268,57748.36805555556,57504.464499484006,57594.758949837604,57656.60647780585
patient014/s0071lre,58105.35294117647,58146.509803921566,58180.34640522876,57884.72077922078,57884.58340735806,58044.830322505935,58003.59310404725,57663.4262983039,57807.88888888889,57832.848749781435
patient202/s0422_re,61030.11111111111,61101.71428571428,61145.142857142855,61028.086614173226,61017.55905511811,61050.13369467028,61110.669291338585,60769.02380952381,60869.02380952381,60937.54761904762
patient202/s0421_re,60235.61494252874,60315.79310344828,60360.057471264365,60399.13142857143,60380.13142857143,60518.41142857143,60471.57142857143,60215.79310344828,60315.79310344828,60382.833333333336
patient071/s0236lre,57874.708333333336,57931.975,57974.71666666667,57595.87603305785,57560.80991735537,57690.217421915004,57657.90082644628,57324.036,57408.941666666666,57500.772
patient137/s0392lre,58473.390065681444,58531.34977422003,58563.06325944171,58254.88816162762,58233.659149982435,58356.70888036242,58342.112,58053.032019704435,58150.1435139573,58232.833538587845
patient086/s0316lre,57966.982035928144,58020.149700598806,58058.88023952096,57821.732142857145,57787.958333333336,58055.69112133606,57995.07738095238,57710.60630746653,57825.2994011976,57837.28566368956
patient146/s0007_re,19369.308771929824,19370.717368421054,19411.14789473684,19269.587431693988,19245.00754352031,19429.399698340872,19413.07246376812,19135.92543859649,19225.02105263158,19293.747368421053
patient248/s0481_re,59807.99193548387,59860.37903225807,59890.87096774193,59488.232,59463.904,59763.398148148146,59603.776,59230.35483870968,59329.31451612903,59404.26612903226
patient096/s0395lre,58391.31896551724,58439.887931034486,58473.379310344826,58005.64102564102,57970.92486849391,58183.442090513636,58147.60683760684,57740.887931034486,57839.1724137931,57898.84482758621
patient096/s0385lre,58524.48818897638,58573.9842519685,58611.086614173226,58192.3046875,58185.29119318182,58356.70888036242,58299.9453125,57980.323585983046,58015.362204724406,58090.72307039864
patient096/s0379lre,58240.040201005024,58286.88442211056,58331.89949748744,58088.075,57983.77308005026,58204.53951080226,58204.630376940135,58090.765432098764,58136.52763819096,58198.417085427136
patient096/s0381lre,57981.23493975904,58028.156626506025,58068.951807228914,57772.92215568863,57742.78636363636,57873.58437278526,57863.658682634734,57592.92740909771,57660.5,57769.06993490947
patient206/s0427_re,60674.15714285714,60741.50714285715,60772.5,60403.975339545956,60402.96057210763,60522.20567375887,60474.94326241135,60161.03571428572,60257.58571428571,60329.36428571429
patient115/s0023_re,19268.242630385488,19325.950113378683,19470.81480677377,19124.884137931032,19041.935606060604,19285.728219696968,19237.073170731703,18975.907077724707,19094.36848072562,19136.915110725142
patient011/s0044lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient011/s0049lre,57614.88690476191,57657.494047619046,57694.10119047619,57408.76331360947,57381.57396449704,57517.302789802794,57477.63313609467,57228.8433536276,57327.482142857145,57398.11174530695
patient011/s0067lre,16144.764705882351,16188.79411764706,16223.823529411764,15819.228571428572,15791.742857142855,19093.714530892452,15924.942857142858,15570.117647058823,15670.117647058823,15732.382352941177
patient011/s0039lre,58293.92485549133,58350.815028901736,58389.64739884393,58107.23563218391,58070.360325021014,58204.53951080226,58168.15517241379,57884.150511875516,58014.23699421965,58087.473988439306
patient188/s0365lre,58025.32388597641,58080.58524464832,58126.3999836173,57765.40497579344,57602.34146341463,57898.813166361746,57889.84146341463,57541.83398864133,57635.89648864133,57717.4882863696
patient040/s0219lre,57959.137681159424,58031.04347826087,58065.31884057971,57727.17266187051,57689.423664122136,57821.05755395684,57805.625899280574,57523.76811594203,57623.688405797104,57700.00724637681
patient040/s0133lre,58091.93233082707,58159.4060150376,58190.6015037594,57846.932835820895,57856.867496260034,57986.70366392171,57967.67910447761,57629.503759398496,57727.436090225565,57800.25563909775
patient040/s0130lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient040/s0131lre,57998.62937062937,58062.39160839161,58097.04895104895,57767.51388888889,57671.14800443459,57884.98421643466,57877.79166666666,57580.69068025984,57688.34965034965,57753.11188811189
patient148/s0335lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient073/s0252lre,57971.94117647059,58030.57983193277,58089.04201680672,57658.6,57634.43838358031,57818.74166666667,57804.191666666666,57431.49579831933,57522.33613445378,57593.68907563025
patient073/s0249lre,57795.91129032258,57853.40322580645,57912.58064516129,57504.616,57488.39829706718,57660.696,57641.2,57311.65244482496,57374.82258064516,57456.83064516129
patient073/s0243lre,57965.64444444444,58017.31111111112,58078.55555555556,57699.93382352941,57689.423664122136,57853.01470588235,57821.52941176471,57447.371930167414,57567.55555555556,57615.061592078695
patient073/s0238lre,58027.230769230766,58084.730769230766,58137.307692307695,57758.12977099237,57671.14800443459,57889.2213740458,57872.954198473286,57552.43076923077,57641.89230769231,57716.1
patient263/s0499_re,59966.5761589404,60019.39735099338,60054.03973509934,59714.90131578947,59711.44074563723,60027.85667971618,59824.88868323638,59507.36481700118,59649.56953642384,59718.17880794702
patient051/s0179lre,57693.48863636364,57742.92613636364,57787.94318181818,57495.80790960452,57489.34905591866,57614.95379629629,57578.68361581921,57306.532539682536,57413.97727272727,57454.181818181816
patient051/s0187lre,58245.75471698113,58304.25471698113,58344.90566037736,57899.17687854958,57957.0945523078,58114.96936383478,58101.831775700935,57716.21698113208,57814.47169811321,57896.518867924526
patient051/s0181lre,58581.605769230766,58630.72115384616,58671.932692307695,58157.87619047619,58211.48822843823,58271.03677262931,58252.90476190476,57856.04807692308,57955.16346153846,58031.33653846154
patient231/s0455_re,60541.38356164384,60603.19863013698,60631.5,60281.6462585034,60247.76190476191,60420.24729022044,60338.88435374149,60022.58458646617,60115.59589041096,60175.760273972606
patient218/s0440_re,60208.66314136746,60345.59595959596,60339.3998696528,60454.85,60383.09818181818,60432.74492997199,60532.0403726708,60193.33985069321,60290.64646464647,60363.622852233675
patient209/s0431_re,60421.54237288136,60451.74576271186,60478.4406779661,60045.78151260504,60019.46218487395,60113.90673449612,60125.68907563025,59765.84745762712,59864.56779661017,59942.40677966102
patient234/s0460_re,59434.7570093458,59523.457943925234,59572.55140186916,59741.14814814815,59717.96296296296,59838.12962962963,59811.37037037037,59423.457943925234,59523.457943925234,59599.05607476636
patient196/s0002_re,19910.039743589747,19949.760256410256,19983.570192307692,19337.179487179485,19416.89057350033,19626.999564459933,19773.105263157893,19406.383012820515,19536.440384615387,19540.78237179487
patient063/s0214lre,57724.09106266335,57776.788136673684,57814.70327341111,57549.09302325582,57533.46633986928,57683.10508064517,57688.71317829457,57411.29357110984,57494.11686428253,57636.57065316548
patient211/s0433_re,60602.68658088236,60643.87142857143,60678.89523809524,60353.729857819904,60334.70142180095,60533.40880446117,60470.4062676454,60208.95238095238,60299.31428571429,60354.909523809525
patient191/s0340lre,57835.968,57879.304,57911.6,57510.63492063492,57547.844126405624,57664.79833112583,57711.42857142857,57311.65244482496,57363.784,57470.92902121078
patient257/s0493_re,60272.44027989822,60335.49030534351,60373.37267175573,60344.416683805684,60305.74508739551,60505.913788819875,60415.8,60050.58829516539,60137.39363867685,60207.37468193384
patient077/s0254lre,58156.58916313714,58238.8141025641,58293.63461538462,58009.74522292994,57984.21656050955,58109.720296221,58070.91082802548,57822.5959288938,57934.980769230766,58005.22435897436
patient077/s0258lre,58057.61780067758,58101.98630136986,58136.71917808219,57852.72108843538,57826.56462585034,57957.360544217685,57916.401360544216,57664.328080331616,57756.938356164384,57831.665344482564
patient077/s0285lre,57453.51243781095,57497.58706467662,57547.92537313433,57349.74257425743,57319.75742574257,57438.38118811881,57404.13366336634,57219.19402985075,57319.13930348259,57387.09950248756
patient077/s0251lre,57547.842342342345,57634.4009009009,57683.75675675676,57627.04484304933,57646.429611650485,57713.439461883405,57680.77130044843,57503.157657657655,57603.085585585584,57675.96846846847
patient055/s0194lre,58041.65111811926,58097.18107798165,58136.65355504587,57796.53763410503,57788.80287212017,57924.46678560416,57884.86934673367,57590.673423165135,57672.59217316513,57735.304357798166
patient112/s0169_re,19018.483870967742,19070.09677419355,19106.1935483871,19189.5625,19164.5625,19234.408862876255,19335.78125,18897.74193548387,18960.25806451613,19016.967741935485
patient200/s0405lre,58687.46534653466,58725.11881188119,58748.86138613861,58438.117647058825,58407.91176470588,58519.75873776187,58706.40196078432,58163.514851485146,58260.16831683168,58340.514851485146
patient275/s0513_re,59438.083333333336,59493.84615384616,59524.63461538462,59204.28025477707,59178.108280254775,59763.398148148146,59312.299363057326,59004.35897435898,59104.19230769231,59172.02564102564
patient005/s0031lre,57495.88123629386,57790.47039602988,57638.0975877193,57720.62285714286,57690.6152173913,57822.14829794405,57784.154285714285,57463.63075657895,57589.2495086478,57659.04947916667
patient005/s0021bre,57983.3513138416,58046.890112262525,58083.26087157661,57793.47193924236,57683.91042242896,57922.02283029904,57893.1043956044,57665.6316308907,57754.34179928448,57827.600897483346
patient005/s0025lre,58034.55080321286,58085.228313253014,58125.517570281125,57773.03959024101,57739.954545454544,57906.2583169023,57860.40404040404,57697.585591603056,57796.64166666666,57850.848155216285
patient005/s0021are,57872.34897801443,57929.655788388874,57969.66569334708,57715.7741008213,57689.582455395066,57871.1599451699,57832.36956521739,57588.06471143937,57675.6019552273,57736.46680693919
patient005/s0101lre,57933.27642276423,57973.74796747968,58005.0243902439,57570.22111480251,57561.89305391578,57698.395161290326,57669.75,57324.036,57300.59349593496,57500.772
patient201/s0420_re,60780.614876033054,60801.77142857143,60876.02083333333,60429.319773112264,60419.23001625796,60530.41329439578,60578.843971631206,60183.964138134594,60244.44285714286,60329.20867768595
patient201/s0423_re,59772.13924050633,59833.20253164557,59887.23417721519,59566.981132075474,59566.67819047619,59688.66666666666,59639.8427672956,59258.70634497468,59396.4746835443,59432.76116368968
patient069/s0284lre,58279.78070175439,58350.71929824561,58379.62280701754,57931.38260869565,57943.356464116034,58102.64146306717,58087.4,57684.34210526316,57784.21052631579,57856.30701754386
patient069/s0233lre,57886.984,57958.648,57987.456,57576.36507936508,57586.636502301844,57724.60502645503,57725.31746031746,57351.344,57451.32,57529.952
patient069/s0232lre,57781.29661016949,57828.74576271186,57853.26271186441,57402.86554621849,57358.48905109489,57494.78108367043,57507.8487394958,57132.9406779661,57227.27966101695,57308.53389830508
patient069/s0234lre,58192.333333333336,58264.74166666667,58294.15833333333,57860.82644628099,57843.04544112219,58059.59527425135,58016.65289256199,57637.16666666666,57737.15,57820.50833333333
patient136/s0205_re,19242.380276933472,19297.010469436,19201.99054373522,18968.824561403508,18852.9861379755,19160.84210526316,19131.877192982454,18975.907077724707,19026.376730834178,18969.125768321515
patient250/s0485_re,61333.49107142857,61394.0625,61436.38392857143,60993.46902654867,60965.72566371682,60960.34063461993,61112.5221238938,60695.16071428572,60795.05357142857,60869.767857142855
patient075/s0327lre,57821.48648648649,57873.91891891892,57920.18243243243,57626.094086021505,57584.720790935986,57769.18585632612,57723.53020134229,57422.81756756757,57522.44594594595,57590.83783783784
patient075/s0246lre,58003.69852941176,58060.69852941176,58105.757352941175,57733.28467153285,57671.14800443459,57855.13946400132,57876.20437956204,57553.19117647059,57650.625,57731.61029411765
patient075/s0242lre,58320.34969325153,58373.23312883436,58416.77914110429,58112.37804878049,58070.360325021014,58253.87379190577,58232.2743902439,57929.40202702703,58056.52147239264,58090.861177226194
patient075/s0248lre,57955.91472868217,58009.8992248062,58057.79069767442,57710.27834033614,57658.919757872136,57839.007352941175,57803.20769230769,57463.248062015504,57563.03875968992,57636.43410852713
patient163/s0034_re,19538.224242424243,19579.225757575754,19601.188383838384,19318.820463320462,19291.914092664094,19474.383241758245,19483.685185185182,19115.17166666666,19170.08914141414,19237.058585858587
patient169/s0328lre,57724.73148148148,57787.32407407407,57831.694444444445,57362.74311926605,57366.021518627356,57483.65725686528,57482.14678899082,57063.02777777778,57162.00925925926,57234.944444444445
patient169/s0329lre,58073.18348623853,58129.5871559633,58178.53211009174,57762.84545454545,57666.71138211382,57898.813166361746,57885.98181818182,57468.71559633027,57568.71559633027,57642.45871559633
patient061/s0210lre,58037.6855345912,58102.90566037736,58134.71698113208,57820.76875,57822.93768015681,57919.05380152061,57966.01185048487,57646.44025157233,57746.34591194968,57815.36477987422
patient123/s0224_re,19268.242630385488,19459.69743711438,19577.520645467488,19173.739545454544,19041.935606060604,19379.392482517484,19259.755555555555,19010.791516606645,19130.65899383009,19111.72876892693
patient289/s0550_re,60509.814520980595,60572.840953526844,60610.99943600541,60168.980044345895,60141.577864005914,60245.39386684907,60237.96753246753,59808.977026620545,59885.99996240036,60062.4644993354
patient183/s0175_re,19867.17948717949,19892.82051282051,19918.615384615383,19337.179487179485,19245.00754352031,19626.999564459933,19546.15,19669.641025641027,19721.23076923077,19761.589743589742
patient270/s0507_re,60584.52554744526,60651.912408759126,60679.78102189781,60303.760869565216,60236.53020611229,60420.24729022044,60371.108695652176,59999.08330560915,60077.83211678832,60180.180888866
patient048/s0277lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient048/s0172lre,57999.51934711788,58069.13815789474,58117.40789473684,57814.929970423924,57772.87471245481,57917.53274728886,57885.53544199803,57634.87988909977,57724.31578947369,57800.80921052631
patient048/s0180lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient048/s0171lre,57779.65945945946,57836.2,57887.5027027027,57606.20430107527,57556.97849462365,57787.88113516639,57716.43548387097,57446.470236297755,57555.09189189189,57618.15634908652
patient118/s0183_re,19650.78181818182,19681.618181818183,19701.654545454545,19367.85714285714,19338.071428571428,19506.535714285717,19468.785714285717,19169.92429443173,19234.872727272726,19311.67272727273
patient160/s0222_re,19910.039743589747,19949.760256410256,19983.570192307692,19337.179487179485,19416.89057350033,19626.999564459933,19616.825,19406.383012820515,19536.440384615387,19540.78237179487
patient053/s0191lre,58165.01948051948,58230.01298701299,58268.24675324676,57934.006451612906,57911.01459951069,58071.92317501896,58013.55483870968,57661.07769491525,57807.07792207792,57827.46277966102
patient104/s0306lre,57736.81196581197,57820.54700854701,57860.89743589744,57672.44526066351,57651.05084745763,57723.51247237569,57734.11752423564,57444.47863247863,57544.47863247863,57611.95726495727
